店コード	店名称（漢字）	郵便番号	住所	latitude	longitude
05238	浜松若林店	4328051	静岡県浜松市中央区若林町1157-1	34.688852	137.703114
05239	岡山けやき通り店	7038255	岡山県岡山市中区東川原156-1	34.675891	133.946303
05240	東広島店	7390025	広島県東広島市西条中央3-4-7	34.417546	132.739088
05241	筑紫野ヴィレッジ店	8180025	福岡県筑紫野市大字筑紫116-1	33.459957	130.54476
05242	八千代緑が丘店	2760049	千葉県八千代市緑が丘1-1-1	35.728681	140.076753
05243	泡瀬店	9042172	沖縄県沖縄市泡瀬4-4-2	26.318437	127.832187
05244	福岡穂波店	8200084	福岡県飯塚市椿192-1	33.618418	130.65949
05245	東武ストア新柏店	2770084	千葉県柏市新柏1-4-1東武ｽﾄｱ新柏店内	35.841124	139.973058
05246	田川イカリ店	8250001	福岡県田川市大字伊加利2011-26	33.623247	130.826894
05247	土浦真鍋店	3000051	茨城県土浦市真鍋5-8-11	36.095843	140.198924
05248	ニトリモール相模原店	2520331	神奈川県相模原市南区大野台6-1-1ﾆﾄﾘﾓｰﾙ相模原3階	35.550031	139.406791
05249	那覇新都心店	9000004	沖縄県那覇市字銘苅2-1-22	26.233197	127.69929
05250	帯広大通り店	0800010	北海道帯広市大通南23丁目2	42.912173	143.206462
05251	ＪＲ灘店	6570846	兵庫県神戸市灘区岩屋北町7-3-1	34.705261	135.218609
05252	黒磯店	3250025	栃木県那須塩原市下厚崎265-85	36.952096	140.047115
05253	ニトリモール東大阪店	5780947	大阪府東大阪市西岩田2-3-25	34.666696	135.599576
05254	白河昭和町店	9610971	福島県白河市昭和町222-1	37.130572	140.200784
05256	イオンモール与野店	3380004	埼玉県さいたま市中央区本町西5-2-9	35.887242	139.616684
05257	カインズ朝霞店	3510005	埼玉県朝霞市根岸台3-20-1	35.801734	139.606662
05258	岡山下中野店	7000945	岡山県岡山市南区新保1615-13	34.633176	133.911388
05259	おもちゃのまち店	3210201	栃木県下都賀郡壬生町大字安塚1213-7	36.482918	139.833546
05260	えもり店	4838042	愛知県江南市江森町東229	35.344919	136.891326
05261	宇都宮若松原店	3210153	栃木県宇都宮市北若松原1-13-16	36.506694	139.864894
05262	千葉小倉町店	2640007	千葉県千葉市若葉区小倉町871-18	35.621064	140.173304
05263	ららぽーと愛知東郷店	4700162	愛知県愛知郡東郷町東郷中央土地区画整理事業62街区13	35.091437	137.041462
05264	武蔵小金井南口店	1840004	東京都小金井市本町1-19-10	35.703506	139.506729
05265	錦糸公園店	1300012	東京都墨田区太平4-8-2	35.700702	139.813304
05266	伊賀上野店	5180820	三重県伊賀市平野西町54	34.771773	136.135901
05267	豊田若園店	4730914	愛知県豊田市若林東町上外根82-2	35.024168	137.103602
05268	西脇店	6770054	兵庫県西脇市野村町1796-52-1	34.97509	134.96519
05269	茅野店	3910001	長野県茅野市ちの2767-5	35.997534	138.145299
05270	弥生台店	2450008	神奈川県横浜市泉区弥生台25-1	35.426331	139.506749
05271	宇多津店	7690202	香川県綾歌郡宇多津町浜ﾆ番丁14-1	34.308201	133.810839
05272	西友二俣川店	2410821	神奈川県横浜市旭区二俣川2-52-1	35.463478	139.531416
05273	伊那春近店	3994431	長野県伊那市西春近2686-1	35.818619	137.916221
05274	富山天正寺店	9300952	富山県富山市町村114	36.679768	137.257997
05275	小平駅前店	1870041	東京都小平市美園町1-4-10	35.73781	139.489834
05276	成田ニュータウン店	2860041	千葉県成田市飯田町158-16	35.766124	140.301304
05278	姫路広畑店	6711151	兵庫県姫路市広畑区早瀬町1-15-1	34.805957	134.624367
05279	アリオ北砂店	1360073	東京都江東区北砂2-17-1	35.681552	139.831209
05281	梅ヶ丘駅前店	1540022	東京都世田谷区梅丘1-25-7	35.652291	139.653616
05282	谷保駅前店	1860003	東京都国立市富士見台1-17-15	35.685776	139.440073
05283	烏山店	1570062	東京都世田谷区南烏山6-22-18ﾍﾞﾙｶﾝﾄ南烏山1階	35.669054	139.604216
05284	札幌西野店	0630033	北海道札幌市西区西野3条3-2-2	43.0771	141.276417
05285	ひたちなか笹野店	3120018	茨城県ひたちなか市笹野町2-3-1	36.396764	140.544561
05286	新静岡セノバ店	4200839	静岡県静岡市葵区鷹匠1-1-1	34.977697	138.389041
05287	川中島店	3812221	長野県長野市川中島町御厨2408-1	36.593621	138.162431
05288	佐久穂町店	3840613	長野県南佐久郡佐久穂町大字高野町725-1	36.160383	138.48356
05289	千駄木店	1130022	東京都文京区千駄木2-21-1	35.726487	139.760412
05290	ららぽーと沼津店	4100302	静岡県沼津市東椎路301-3	35.126535	138.833023
05291	亀田店	9500152	新潟県新潟市江南区亀田緑町3-1-51	37.87155	139.101529
05292	長岡古正寺店	9402103	新潟県長岡市古正寺町1-39-1	37.45739	138.819256
05294	栃木店	3280075	栃木県栃木市箱森町36-10	36.389711	139.722998
05295	新鎌ケ谷店	2730107	千葉県鎌ヶ谷市新鎌ヶ谷3-16-12	35.780874	140.001786
05296	福岡新宮中央店	8110117	福岡県糟屋郡新宮町上府668-1	33.711158	130.45641
05297	中島新町店	4540932	愛知県名古屋市中川区中島新町4-1507	35.126849	136.850898
05298	東武ストア東武動物公園駅前店	3450821	埼玉県南埼玉郡宮代町中央1-2-1	36.0238898	139.7240989
05299	多摩下柚木店	1920372	東京都八王子市下柚木2-9-7	35.625538	139.378301
05300	一関店	0210055	岩手県一関市山目字泥田64-1	38.936969	141.112471
05301	厚別中央店	0040053	北海道札幌市厚別区厚別中央3条6-1-7	43.039109	141.464911
05302	川沿ソシア店	0050805	北海道札幌市南区川沿五条2-3-10	42.992823	141.331916
05303	泉北光明池店	5900143	大阪府堺市南区新檜尾台2丁1-1	34.479709	135.476024
05304	秦野店	2570032	神奈川県秦野市河原町8-1	35.36846	139.23575
05305	ミスターマックス糸島店	8191102	福岡県糸島市高田4-16-1B棟101	33.56998	130.235383
05306	イトーヨーカドー川崎店	2100843	神奈川県川崎市川崎区小田栄2-2-1	35.514742	139.707145
05307	広島アルパーク店	7338624	広島県広島市西区草津新町2-26-1	34.3883	132.4272
05308	伊勢一之木店	5160071	三重県伊勢市一之木5-2-13	34.497629	136.705995
05309	八王子みなみ野店	1920916	東京都八王子市みなみ野1-7-3ﾌﾚｽﾎﾟ八王子みなみ野	35.630095	139.324645
05310	鶴岡店	9970003	山形県鶴岡市文下字広野20-1	38.765641	139.848119
05311	オークビレッジかみす店	3140144	茨城県神栖市大野原4-8-67-2	35.892092	140.643439
05312	本山四谷通店	4640819	愛知県名古屋市千種区四谷通2-14-1	35.160592	136.964661
05313	下井草駅店	1670022	東京都杉並区下井草2-44-10	35.720042	139.623523
05314	ららぽーと門真店	5718620	大阪府門真市松生町1-11	34.7425	135.5828
05315	イオン板橋店	1750083	東京都板橋区徳丸2-6-13F	35.775951	139.659098
05316	弘前城東店	0368084	青森県弘前市大字高田3-1-10	40.598087	140.506014
05317	東海村店	3191116	茨城県那珂郡東海村舟石川駅西3-13-25	36.466362	140.563767
05318	アスティ一宮店	4910858	愛知県一宮市栄3-1-1ｱｽﾃｨ一宮内	35.303339	136.798337
05319	千林大宮店	5350002	大阪府大阪市旭区大宮2-27-17	34.725469	135.547291
05320	黒瀬店	7392613	広島県東広島市黒瀬町楢原661-1	34.326746	132.668358
05321	高鍋店	8840002	宮崎県児湯郡高鍋町大字北高鍋2425-1	32.129098	131.515779
05322	土気駅前店	2670066	千葉県千葉市緑区あすみが丘1-20-1	35.521844	140.265601
05323	橋本３丁目店	2520143	神奈川県相模原市緑区橋本3-3-1SING橋本1F	35.597996	139.342359
05324	川越笠幡店	3501175	埼玉県川越市大字笠幡4525-1	35.908406	139.402353
05325	明石二見店	6740092	兵庫県明石市二見町東二見837-6	34.702866	134.887818
05326	浜田山駅前店	1680065	東京都杉並区浜田山3-31-2	35.681133	139.63025
05327	いずみ中央駅店	2450023	神奈川県横浜市泉区和泉中央南5-4-13	35.412699	139.493477
05328	渋川店	3770008	群馬県渋川市渋川1904-36	36.49741	138.969055
05329	高槻今城店	5691135	大阪府高槻市今城町18-1	34.846021	135.599512
05330	多治見上野町店	5070027	岐阜県多治見市上野町5-98	35.339815	137.125469
05331	イオン新浦安店	2790012	千葉県浦安市入船1-4-1ｲｵﾝ新浦安1F	35.649426	139.916221
05332	ルート２６号泉佐野店	5980013	大阪府泉佐野市中町3-6583	34.40083	135.315653
05333	いわき内郷店	9738402	福島県いわき市内郷御厩町前田114	37.045923	140.874671
05334	フォルテ横浜川和町店	2240057	神奈川県横浜市都筑区川和町1403	35.530445	139.549734
05335	安中バイパス店	3790133	群馬県安中市原市336	36.316167	138.866152
05336	南相馬店	9750032	福島県南相馬市原町区桜井町1-147-1	37.639081	140.978165
05337	堀切菖蒲園店	1240006	東京都葛飾区堀切5-1-3	35.748916	139.830268
05338	洗足池店	1450064	東京都大田区上池台2-30-5	35.596925	139.697587
05339	イオンモール川口前川店	3330842	埼玉県川口市前川1-1-11	35.836762	139.710802
05340	広本町店	7370125	広島県呉市広本町3-14-30	34.233961	132.620926
05342	イオンモール名取店	9811294	宮城県名取市杜せきのした5-3-1	38.16382753	140.8958344
05343	小松大領店	9230854	石川県小松市大領町ﾛ199	36.387785	136.451686
05344	種子島店	8913116	鹿児島県西之表市鴨女町217-3	30.724402	130.995697
05345	あべのキューズモール店	5450052	大阪府大阪市阿倍野区阿倍野筋1-6-13階Q-FC-08	34.641897	135.511538
05346	東刈谷店	4480802	愛知県刈谷市末広町3-1-8	34.973476	137.044051
05347	ＪＲ奈良店	6308122	奈良県奈良市三条本町1-1ﾋﾞｴﾗ奈良	34.680551	135.818289
05348	厚木とびお店	2430204	神奈川県厚木市鳶尾5-14-9	35.492187	139.328199
05349	エトレ豊中店	5600026	大阪府豊中市玉井町1-1-1-205	34.787391	135.457171
05350	摂津本山店	6580081	兵庫県神戸市東灘区田中町1-8-23	34.723421	135.272534
05351	トライアル橿原店	6340842	奈良県橿原市豊田町252-1	34.524101	135.78533
05352	甲州塩山店	4040036	山梨県甲州市塩山熊野58-1	35.690975	138.728532
05353	イオンスタイル成田店	2860029	千葉県成田市ｳｲﾝｸﾞ土屋24番地	35.794723	140.322979
05354	倉敷中庄店	7100001	岡山県倉敷市三田6-1	34.631252	133.79731
05355	諫早久山台店	8540067	長崎県諫早市久山台11	32.825241	129.992797
05357	日立多賀店	3160001	茨城県日立市諏訪町1-1-35	36.571427	140.619772
05358	中板橋駅前店	1730021	東京都板橋区弥生町32-8白扇ﾋﾞﾙ	35.753955	139.693025
05359	八戸石堂店	0391103	青森県八戸市長苗代2-16-21	40.521726	141.471348
05360	京都二条駅前店	6048418	京都府京都市中京区西ﾉ京東栂尾町3JR二条駅NKﾋﾞﾙ1階	35.005964	135.744759
05361	近鉄奈良店	6308216	奈良県奈良市東向南町10-2	34.682822	135.828834
05362	湊高台店	0310823	青森県八戸市湊高台2-1-1	40.507345	141.540853
05363	旭川東光店	0788348	北海道旭川市東光8条1丁目226	43.747463	142.406149
05364	アピタ高蔵寺店	4870011	愛知県春日井市中央台2-5	35.284603	137.051269
05365	仙台定禅寺通り店	9800803	宮城県仙台市青葉区国分町3-4-5ｸﾗｲｽﾋﾞﾙ1F	38.264074	140.868963
05366	新潟黒埼店	9501101	新潟県新潟市西区山田2307	37.871638	139.012934
05367	新潟万代シティ店	9500088	新潟県新潟市中央区万代1-5-6	37.918425	139.0582
05368	新潟亀貝店	9502033	新潟県新潟市西区亀貝1468	37.86805	138.982183
05369	フォレオせんだい宮の杜店	9830833	宮城県仙台市宮城野区東仙台4-14-8C-3棟	38.27752	140.914545
05370	中央林間北口店	2420007	神奈川県大和市中央林間3-3-8	35.506711	139.443539
05371	アリオ市原店	2900050	千葉県市原市更級4-3-2ｱﾘｵ市原店2階ﾋﾙﾄｯﾌﾟｷｯﾁﾝ内	35.507823	140.099956
05372	宮崎台店	2160033	神奈川県川崎市宮前区宮崎3-13-12	35.589684	139.589809
